segment_id,work,book,chapter,tokens
dbc_book01_ch052,dbc,1,52,109
dbc_book01_ch053,dbc,1,53,68
dbc_book01_ch054,dbc,1,54,116
dbc_book01_ch055,dbc,1,55,76
dbc_book01_ch056,dbc,1,56,101
dbc_book01_ch057,dbc,1,57,109
dbc_book01_ch058,dbc,1,58,164
dbc_book01_ch059,dbc,1,59,78
dbc_book01_ch060,dbc,1,60,118
dbc_book01_ch061,dbc,1,61,181
dbc_book01_ch062,dbc,1,62,74
dbc_book01_ch063,dbc,1,63,100
dbc_book01_ch064,dbc,1,64,221
dbc_book01_ch065,dbc,1,65,116
dbc_book01_ch066,dbc,1,66,130
dbc_book01_ch067,dbc,1,67,139
dbc_book01_ch068,dbc,1,68,87
dbc_book01_ch069,dbc,1,69,121
dbc_book01_ch070,dbc,1,70,180
dbc_book01_ch071,dbc,1,71,123
dbc_book01_ch072,dbc,1,72,150
dbc_book01_ch073,dbc,1,73,93
dbc_book01_ch074,dbc,1,74,236
dbc_book01_ch075,dbc,1,75,120
dbc_book01_ch076,dbc,1,76,130
dbc_book01_ch077,dbc,1,77,52
dbc_book01_ch078,dbc,1,78,125
dbc_book01_ch079,dbc,1,79,149
dbc_book01_ch080,dbc,1,80,138
dbc_book01_ch081,dbc,1,81,190
dbc_book01_ch082,dbc,1,82,149
dbc_book01_ch083,dbc,1,83,123
dbc_book01_ch084,dbc,1,84,149
dbc_book01_ch085,dbc,1,85,395
dbc_book01_ch086,dbc,1,86,117
dbc_book01_ch087,dbc,1,87,152
dbc_book02_ch001,dbc,2,1,130
dbc_book02_ch002,dbc,2,2,134
dbc_book02_ch003,dbc,2,3,81
dbc_book02_ch004,dbc,2,4,143
dbc_book02_ch005,dbc,2,5,168
dbc_book02_ch006,dbc,2,6,204
dbc_book02_ch007,dbc,2,7,106
dbc_book02_ch008,dbc,2,8,110
dbc_book02_ch009,dbc,2,9,302
dbc_book02_ch010,dbc,2,10,191
dbc_book02_ch011,dbc,2,11,148
dbc_book02_ch012,dbc,2,12,112
dbc_book02_ch013,dbc,2,13,105
dbc_book02_ch014,dbc,2,14,195
dbc_book02_ch015,dbc,2,15,170
dbc_book02_ch016,dbc,2,16,125
dbc_book02_ch017,dbc,2,17,144
dbc_book02_ch018,dbc,2,18,283
dbc_book02_ch019,dbc,2,19,131
dbc_book02_ch020,dbc,2,20,240
dbc_book02_ch021,dbc,2,21,181
dbc_book02_ch022,dbc,2,22,205
dbc_book02_ch023,dbc,2,23,166
dbc_book02_ch024,dbc,2,24,112
dbc_book02_ch025,dbc,2,25,218
dbc_book02_ch026,dbc,2,26,137
dbc_book02_ch027,dbc,2,27,97
dbc_book02_ch028,dbc,2,28,142
dbc_book02_ch029,dbc,2,29,130
dbc_book02_ch030,dbc,2,30,94
dbc_book02_ch031,dbc,2,31,254
dbc_book02_ch032,dbc,2,32,494
dbc_book02_ch033,dbc,2,33,98
dbc_book02_ch034,dbc,2,34,231
dbc_book02_ch035,dbc,2,35,215
dbc_book02_ch036,dbc,2,36,96
dbc_book02_ch037,dbc,2,37,152
dbc_book02_ch038,dbc,2,38,151
dbc_book02_ch039,dbc,2,39,200
dbc_book02_ch040,dbc,2,40,104
dbc_book02_ch041,dbc,2,41,247
dbc_book02_ch042,dbc,2,42,148
dbc_book02_ch043,dbc,2,43,138
dbc_book02_ch044,dbc,2,44,121
dbc_book03_ch001,dbc,3,1,191
dbc_book03_ch002,dbc,3,2,95
dbc_book03_ch003,dbc,3,3,70
dbc_book03_ch004,dbc,3,4,247
dbc_book03_ch005,dbc,3,5,86
dbc_book03_ch006,dbc,3,6,121
dbc_book03_ch007,dbc,3,7,80
dbc_book03_ch008,dbc,3,8,137
dbc_book03_ch009,dbc,3,9,238
dbc_book03_ch010,dbc,3,10,266
dbc_book03_ch011,dbc,3,11,162
dbc_book03_ch012,dbc,3,12,92
dbc_book03_ch013,dbc,3,13,166
dbc_book03_ch014,dbc,3,14,102
dbc_book03_ch015,dbc,3,15,216
dbc_book03_ch016,dbc,3,16,173
dbc_book03_ch017,dbc,3,17,161
dbc_book03_ch018,dbc,3,18,156
dbc_book03_ch019,dbc,3,19,234
dbc_book03_ch020,dbc,3,20,160
dbc_book03_ch021,dbc,3,21,181
dbc_book03_ch022,dbc,3,22,125
dbc_book03_ch023,dbc,3,23,100
dbc_book03_ch024,dbc,3,24,142
dbc_book03_ch025,dbc,3,25,133
dbc_book03_ch026,dbc,3,26,166
dbc_book03_ch027,dbc,3,27,77
dbc_book03_ch028,dbc,3,28,197
dbc_book03_ch029,dbc,3,29,117
dbc_book03_ch030,dbc,3,30,204
dbc_book03_ch031,dbc,3,31,127
