"Caesar_DBC" "Caesar_DBG-01" "Caesar_DBG-02" "Caesar_DBG-03" "Caesar_DBG-04" "Caesar_DBG-05" "Caesar_DBG-06" "Caesar_DBG-07" "Hirtius_DBG-08"
"inter" 0.12695070596978 0.208027410670582 0.264613904257878 0.0557568999163646 0.109170305676856 0.176247288503254 0.21945866861741 0.172852983988355 0.0617474529175671
"legiones" 0.145528858062918 0.0611845325501713 0.312725523213856 0 0.109170305676856 0.0813449023861171 0.091441111923921 0.163755458515284 0.385921580734795
"locum" 0.12695070596978 0.134605971610377 0.336781332691845 0.0557568999163646 0.0436681222707424 0.189804772234273 0.256035113386979 0.109170305676856 0.216116085211485
"qua" 0.12385434728759 0.183553597650514 0.120279047389945 0.083635349874547 0.0655021834061135 0.176247288503254 0.091441111923921 0.227438136826783 0.216116085211485
"rei" 0.164107010156056 0.122369065100343 0.0962232379119557 0.223027599665459 0.109170305676856 0.0677874186550976 0.201170446232626 0.181950509461426 0.0617474529175671
"magna" 0.157914292791677 0.0856583455702398 0.0721674284339668 0.083635349874547 0.152838427947598 0.135574837310195 0.128017556693489 0.127365356622999 0.246989811670269
"res" 0.142432499380728 0.159079784630445 0.144334856867934 0.111513799832729 0.196506550218341 0.135574837310195 0.109729334308705 0.172852983988355 0.0771843161469589
"tempore" 0.145528858062918 0.0978952520802741 0.144334856867934 0.139392249790912 0.109170305676856 0.0677874186550976 0.091441111923921 0.200145560407569 0.231552948440877
"die" 0.154817934109487 0.195790504160548 0.0481116189559779 0.0278784499581823 0.131004366812227 0.189804772234273 0.0548646671543526 0.200145560407569 0.0463105896881754
"exercitum" 0.142432499380728 0.159079784630445 0.192446475823911 0.195149149707276 0.174672489082969 0.0813449023861171 0.0731528895391368 0.13646288209607 0.123494905835134
"proelio" 0.142432499380728 0.183553597650514 0.168390666345923 0.139392249790912 0.262008733624454 0.108459869848156 0.0548646671543526 0.0909752547307132 0.138931769064526
"parte" 0.0990834778300718 0.0734214390602056 0.240558094779889 0.223027599665459 0.152838427947598 0.176247288503254 0.0731528895391368 0.20924308588064 0.16980549552331
"pro" 0.0836016844191231 0.183553597650514 0.144334856867934 0.195149149707276 0.0655021834061135 0.257592190889371 0.182882223847842 0.172852983988355 0.123494905835134
"ante" 0.133143423334159 0.134605971610377 0.144334856867934 0.0557568999163646 0.0873362445414847 0.108459869848156 0.128017556693489 0.200145560407569 0.123494905835134
